rpy.x	rpy.y	rpy.z	Fext.x	Fext.y	Fext.z	Text.x	Text.y	Text.z
-2.970762	-0.324659	-0.859571	1.412860	-2.487324	3.674533	-0.052633	-0.269493	0.052617
-3.014671	0.121439	-0.732236	1.011225	-0.953464	3.993169	-0.164430	-0.292898	0.056751
-2.707954	-0.284990	-0.772955	0.312900	-2.769492	3.552128	-0.039407	-0.340156	0.060170
-2.882846	0.018318	0.205448	0.385108	-1.804740	4.235044	-0.111817	-0.329048	0.061657
2.784690	0.111843	0.592586	2.463242	-0.999426	4.282947	-0.166837	-0.182766	0.055676
-3.095074	-0.614022	-0.291041	2.064133	-3.407739	3.294186	0.011357	-0.223258	0.051114
-3.094921	-0.614017	-0.291268	2.048271	-3.433721	3.301607	0.012256	-0.223782	0.051626
-2.467608	-0.122789	-0.112823	-0.826891	-2.611280	3.412737	-0.058760	-0.412994	0.066623
2.674837	-0.166581	0.471805	3.205722	-1.832674	3.973987	-0.106632	-0.133976	0.051518
2.672830	0.431692	0.179534	2.571560	0.476392	3.523174	-0.267203	-0.179318	0.052200
2.795708	-0.332159	-0.338095	3.272912	-2.024313	3.399198	-0.083102	-0.142281	0.045598
-2.791714	0.050696	0.047316	0.100291	-1.689500	4.015189	-0.121942	-0.350564	0.062964
2.941711	-0.049560	0.871564	2.078476	-1.707792	4.430983	-0.116337	-0.210476	0.056814
2.941692	-0.049453	0.871700	2.098957	-1.679441	4.404391	-0.117711	-0.209844	0.056446
2.941673	-0.049408	0.871831	2.103991	-1.669327	4.398760	-0.118123	-0.209681	0.056244
2.969875	0.088072	0.097281	2.144422	-0.761055	3.969433	-0.175748	-0.215447	0.052188
3.031714	-0.250799	0.351797	2.044724	-2.395710	4.197426	-0.067824	-0.215273	0.055991
-2.952360	0.056135	0.618298	0.585160	-1.562784	4.289071	-0.127045	-0.315513	0.061006
