q1	q2	q3	q4	q5	q6	q7
-0.700018	-0.383496	0.601248	-1.963520	0.129900	1.997089	0.703943
-0.701112	0.202501	0.678321	-1.494857	0.048706	1.642806	0.704022
-0.687990	0.203298	0.723500	-1.555757	-0.008446	2.208511	0.704025
-0.656417	0.264137	0.936219	-1.404122	0.047543	1.560127	0.060535
-0.784242	0.269406	0.833368	-1.379228	-0.558755	1.661782	-0.568408
-0.728836	0.402505	0.886033	-1.383263	-0.558764	2.214043	0.506851
-0.728824	0.402502	0.886049	-1.383267	-0.558761	2.214047	0.507051
-0.743132	0.535056	1.183862	-1.366684	0.083803	1.978906	0.336179
-0.905047	0.479488	1.178493	-1.335986	-0.860696	1.800259	-0.177487
-0.905246	0.383008	1.221865	-1.337563	-0.860772	1.071524	-0.177688
-0.889628	0.397954	1.318151	-1.421788	-0.860131	1.536972	0.770002
-0.812541	0.760712	1.454421	-1.343211	-0.424282	1.603116	0.488157
-0.861834	0.725163	1.456425	-1.339934	-0.888264	1.596890	-0.401854
-0.861842	0.725139	1.456449	-1.339929	-0.888284	1.596805	-0.401995
-0.861844	0.725126	1.456473	-1.339926	-0.888295	1.596775	-0.402118
-0.905064	0.746676	1.577936	-1.251481	-0.914350	1.194955	0.302331
-0.917128	0.846938	1.518588	-1.253126	-0.979210	1.647472	0.035965
-0.871195	0.864118	1.563904	-1.180438	-0.718670	1.233925	-0.168376
